,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
1416,Collaborative Research: IUCRC Center for Configuration Analytics and Automation,17-0123,Supplement,501941,A13-0169-006,46820,800682124,"Al-shaer, Ehab","Al-shaer, Ehab",National Science Foundation (NSF),Federal,5738,No,"Chu, Bei-Tseng",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,9/13/2016,9,2017,2013-06-01,2019-05-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1266360 MOD5,OR - Organized Research (110),47.04,,,,
2797,Healthy Wells,15-0902,New,530815,A16-0117-005,42211,800594705,"Delmelle, Eric","Delmelle, Eric",Gaston County Health Department,Local Government,18159,No,"Silverman, Gary; Tang, Wenwu;",['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,2/28/2019,2,2019,2015-10-01,2019-09-30,Supplement,(20 - 25) Contract,03 - Public Service,5311,Centers for Disease Control and Prevention (CDC),,,,Geography and Earth Sciences,CLAS,2018-439,OR - Organized Research (110),93.07,,,,
1291,Collaborative Research: I/UCRC for Robots and Sensors for the Human Well-being,14-0590,New,530205,A15-0078-006,65000,800211846,"Xiao, Jing","Xiao, Jing",National Science Foundation (NSF),Federal,5738,No,"Akella, Srinivas",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,9/9/2018,9,2019,2014-09-15,2019-08-31,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CS,CCI,1439695 MOD5,OR - Organized Research (110),47.041,,IUCRC,,
1666,Industrial membership fees for the NSF IUCRC Award - SIBS Industry Funds,13-0378,New,540206,A12-0238-016,50000,800405486,"Cox, Robert","Cox, Robert",All Other Business and Industry,Business and Industry,6010,No,,['recQslbuFZUwdV4PG'],"Infrastructure, Design, Environment, and Sustainability (IDEAS) Center",College of Engineering,22150,Energy Production and Infrastructure Center,21900,Elec and Computer Engineering (Dpt),College of Engineering,2/23/2017,2,2017,2012-07-01,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Energy & Enviro Assistance Office,ENG,BOA Yr 5,OR - Organized Research (110),0,,,,
2520,Preliminary Structural and Foundation Assessment of the Historic Crusader Walls and Pillars at the St. Jerome Hall within the Armenian Section of the Church of the Nativity in Bethlehem,16-0685,New,560352,A16-0232-001,13000,800720129,"Pando, Miguel","Pando, Miguel",University of the Holy Land (UHL),Educational and Research Institutions,27131,No,"Whelan, Matthew",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,5/23/2016,5,2016,2016-05-16,2017-08-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,Letter Dated 05/12/2016,OR - Organized Research (110),0,,,,
3565,Protein Markers to Islet Autoimmunity and Type 1 Diabetes Progression,17-0217,New,530631,A18-0102-003,27095,800567153,"Sha, Wei","Sha, Wei",University of North Carolina at Greensboro (UNCG),Educational and Research Institutions,13036,No,,['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23270,Bioinformatics and Genomics,23270,Bioinformatics and Genomics,College of Computing and Informatics,6/17/2019,6,2019,2017-07-01,2019-05-31,,Incoming_Sub,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,BIG,CCI,20170016.1 MOD2,OR - Organized Research (110),93.847,,,,
629,Role of DAI in viral CNS infection: A pilot study,17-0016,New,530518,A17-0175-003,7550,800212364,"Marriott, Ian","Marriott, Ian",National Institutes of Health (NIH),Federal,5332,No,"Johnson, Morgan",['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,5/16/2018,5,2018,2017-03-01,2020-02-29,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,5R03NS097840-02 REVISED,OR - Organized Research (110),93.853,,,,
395,Leveraging multi-omics approaches to examine metabolic challenges of obesity in relation to cardiovascular disease,18-0797,New,530842,A19-0221-001,211776,800567153,"Sha, Wei","Sha, Wei",University of North Carolina at Chapel Hill (UNC-CH),Educational and Research Institutions,12976,No,"Du, Xiuxia",['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23270,Bioinformatics and Genomics,23270,Bioinformatics and Genomics,College of Computing and Informatics,5/29/2019,5,2019,2019-04-01,2020-03-31,New,(10 - 15) Grant,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,BIG,CCI,5113278,OR - Organized Research (110),93.837,,,,
2664,Arbitrary Profiling Review,16-0491,New,550209,A16-0217-001,21270,800203021,"Kuhns, Joseph","Kuhns, Joseph",Charlotte-Mecklenburg Police Department,Local Government,14932,No,"Reid, Shannon",['recvBtOugIrqlWDoK'],Criminal Justice and Criminology,College of Liberal Arts and Sciences,17600,Criminal Justice and Criminology,17600,Criminal Justice and Criminology,College of Liberal Arts and Sciences,4/21/2016,4,2016,2016-04-21,2017-02-28,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Criminal Justice and Criminology,CLAS,2016001132,OR - Organized Research (110),0,,,,
1208,PFI: AIR-TT: Video Collaboratory: A Platform for Active Viewing and Collaboration with Video Data,16-0730,Supplement,530321,A15-0304-003,4527,800211733,"Wilson, David","Wilson, David",National Science Foundation (NSF),Federal,5738,No,"Singh, Vikash",['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,7/14/2016,7,2017,2015-07-15,2017-12-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,1500195 MOD2,OR - Organized Research (110),47.041,,,,
1813,Conceptualization and Design for an Internet Scale Messaging System,15-0854,New,560258,A15-0299-001,20000,800211148,"Ribarsky, Martin","Ribarsky, Martin",Electric Power Research Institute (EPRI),Nonprofit Organization,15586,No,"Cho, Isaac; Shankar, Ramesh;",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,7/10/2015,7,2016,2015-07-09,2015-10-31,,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,CS,CCI,00-10004550,OR - Organized Research (110),0,,,,
1163,"Workshop: Environmentalism, Network Society, and Independent Cinema in Japan.",15-0240,New,560153,A15-0122-001,2000,800884384,"Ogawa, Shota","Ogawa, Shota",Association for Asian Studies (AAS),Association,6549,No,"Bissiere, Michele; Tsuta , Tetsuichiro;",['rec8TJ3IyKtDwvCNU'],Languages and Culture Studies,College of Liberal Arts and Sciences,18400,Languages and Culture Studies,18400,Languages and Culture Studies,College of Liberal Arts and Sciences,11/21/2014,11,2015,2015-03-09,2015-03-15,New,(10 - 15) Grant,02 - Instruction,,,,,,Languages and Culture Studies,CLAS,Letter dated 11/21/14,OS - Other Sponsored Activities (401),0,5/15/2015,,,
2792,"University of Puerto Rico - Mayaguez CREST Evaluation, continuing",17-0525,New,530582,A17-0241-001,6500,800727056,"Dika, Sandra","Dika, Sandra",University of Puerto Rico Mayaguez Campus,Educational and Research Institutions,12629,No,,['recIuBYGXbo48Tq9j'],Educational Leadership,College of Education,20900,Educational Leadership,20900,Educational Leadership,College of Education,6/30/2017,6,2017,2017-05-15,2017-08-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5738,National Science Foundation (NSF),,,,Educational Leadership,Education,2017-000447,OR - Organized Research (110),47.076,,,,
1718,Antibody Fragment Stability: A Focus on Domain-Domain Interactions,17-0754,Supplement,560440,A11-0229-005,12832,800367647,"Jacobs, Donald","Jacobs, Donald","MedImmune, Inc.",Business and Industry,9207,No,"Ettayapuram Ramaprasad, Azhagiya Singam",['reccq9hibdY0kGBaj'],Bioinformatics and Genomics,College of Computing and Informatics,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,7/5/2017,7,2018,2011-09-15,2017-07-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Bioinformatics Research Center,CCI,Amendment No. 8,OR - Organized Research (110),0,,,,
532,"Applied spectral problems in population dynamics, bio-physics and physical chemistry",17-0375,New,530552,A18-0009-002,77549,800017730,"Molchanov, Stanislav","Molchanov, Stanislav",National Science Foundation (NSF),Federal,5738,No,"Vainberg, Boris",['reclsVwkV3uYB2Qkw'],Mathematics and Statistics,College of Liberal Arts and Sciences,18500,Mathematics and Statistics,18500,Mathematics and Statistics,College of Liberal Arts and Sciences,6/4/2018,6,2018,2017-08-01,2020-07-31,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mathematics and Statistics,CLAS,1714402 MOD1,OR - Organized Research (110),47.049,,,,
3252,Clinical Translational Science Award - Clinical Informatics Faculty,15-0487,New,530429,A16-0112-002,37277,800755734,"Ge, Yaorong","Ge, Yaorong",Wake Forest University Health Sciences,Educational and Research Institutions,20084,No,,['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,6/30/2016,6,2016,2015-08-13,2018-03-31,,(20 - 25) Contract,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,SIS,CCI,WFUHS 441417,OR - Organized Research (110),93.35,,,,
632,2013-2014 Charlotte-Mecklenburg Quality of Life Study,13-0680,New,550172,A14-0066-002,29926,800209552,"Furuseth, Owen","Furuseth, Owen",City of Charlotte,Local Government,14967,No,"Simmons, Laura; McCoy, William;",['recOSjZ6yCGIQtHQj'],Metro Studies & Ext Acad Pgm,Metropolitan Studies,25900,Metropolitan Studies,25900,Metro Studies & Ext Acad Pgm,Metropolitan Studies,8/1/2014,8,2015,2013-07-01,2015-06-30,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Metro Studies,Academic Affairs,1400863 - Yr2,OR - Organized Research (110),0,,,,
3929,Power Electronics Teaching Lab Incorporating WBG Semiconductor Switches and Circuits,18-0554,New,530724,A19-0055-001,88148,800788746,"Parkhideh, Babak","Parkhideh, Babak",North Carolina State University (NCSU),Educational and Research Institutions,12924,No,"Mazzola, Michael; Cox, Robert;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,8/10/2018,8,2019,2018-07-02,2019-06-30,New,(20 - 25) Contract,02 - Instruction,5453,Department of Energy (DOE),,,,EPIC,ENG,2014-0654-73,SI - Sponsored Instruction (101),81.086,,,,
2930,Industrial membership fees for the NSF IUCRC Award - SIBS Industry Funds,13-0378,New,540206,A12-0238-008,50000,800405486,"Cox, Robert","Cox, Robert",All Other Business and Industry,Business and Industry,6010,No,,['recQslbuFZUwdV4PG'],"Infrastructure, Design, Environment, and Sustainability (IDEAS) Center",College of Engineering,22150,Energy Production and Infrastructure Center,21900,Elec and Computer Engineering (Dpt),College of Engineering,12/22/2014,12,2015,2012-07-01,2018-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Energy & Enviro Assistance Office,ENG,WF - Year 3,OR - Organized Research (110),0,,,,
2840,EDU: Collaborative: Integrating Embedded Systems Security into Computer Engineering and Science Curricula,16-0395,New,530456,A17-0044-001,49999,800874924,"Ramaprasad, Harini","Ramaprasad, Harini",National Science Foundation (NSF),Federal,5738,No,"Bahamon, Julio",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,8/17/2016,8,2017,2016-09-01,2019-08-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CS,CCI,1623268,OR - Organized Research (110),47.076,,,,
2751,"Vocal Accommodation Within Nonverbal Frequencies as a Marker of Status, Dominance, and Prestige",15-0694,New,530494,A16-0288-004,50000,800813852,"Dippong, Joseph","Dippong, Joseph",DOD DA Army Research Office (ARO),Federal,5564,No,,['recnI1vgSwToVQMP6'],Sociology,College of Liberal Arts and Sciences,19300,Sociology,19300,Sociology,College of Liberal Arts and Sciences,8/17/2017,8,2018,2016-11-09,2020-01-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Sociology,CLAS,W911NF-17-1-0008 MOD4,OR - Organized Research (110),12.431,,,,
1731,KIPP Durham Charter School TIMS Computerized Bus Routing Project 2017-18,17-0507,New,550229,A17-0161-001,4020,800011151,"Pressley, Joanne","Pressley, Joanne",KIPP Durham College Prep Public School,Local Government,28600,No,,['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,2/1/2017,2,2017,2017-02-01,2018-01-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 01/18/2017,PS - Public Service (401),0,,,,
3453,In vitro and cellular tools for complex polysaccharide biosynthesis,16-0765,New,530536,A17-0199-002,283819,800273338,"Troutman, Jerry","Troutman, Jerry",National Institutes of Health (NIH),Federal,5332,No,"Williams, Tiffany",['rec7RUceU5R016UsF'],Chemistry,College of Liberal Arts and Sciences,17400,Chemistry,17400,Chemistry,College of Liberal Arts and Sciences,5/4/2018,5,2018,2017-05-01,2020-04-30,Non-competing Continuation/Progress Report,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Chemistry,CLAS,5R01GM123251-02,OR - Organized Research (110),93.859,,,,
3285,Surface topography measurement in x-ray computed tomography,17-0013,New,530503,A17-0146-001,63965,800011917,"Smith, Stuart","Smith, Stuart",DOE Lawrence Livermore National Laboratory (LLNL),Federal,5462,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,1/23/2017,1,2017,2017-01-23,2018-09-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,Mech Engineering & Engineering Sci,ENG,B621419,OR - Organized Research (110),0,,,,
3185,Metrology of large space-qualified reflective freeform optics for TMA systems,18-0056,Supplement,530460,A17-0114-002,122005,800385922,"Evans, Christopher","Evans, Christopher",University of Rochester,Educational and Research Institutions,12636,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/8/2017,9,2018,2016-09-01,2019-08-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),5738,National Science Foundation (NSF),,,,Mech Engineering & Engineering Sci,ENG,416951G (YR2),OR - Organized Research (110),47.041,,,,
574,Parent Empowerment (2018-2019),19-0161,New,560631,A19-0098-001,15000,800981720,"Gaines, Angelique","Gavarkavich, Diane",SchermCo,Business and Industry,35236,No,"Gaines, Angelique",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,10/24/2018,10,2019,2018-09-15,2019-10-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,19-0161,PS - Public Service (401),0,,,,
2350,Tools for Teachers: A NC K-5 Mathematics Collaborative,18-0091,New,520282,A17-0256-001,12605,800406563,"Polly, Andrew","Polly, Andrew",Richmond County Schools,Local Government,17598,No,,['recB2qK6G1z5Fk5ty'],Reading and Elementary Education,College of Education,21100,Reading and Elementary Education,21100,Reading and Elementary Education,College of Education,9/13/2017,9,2018,2017-04-07,2018-09-15,New,(20 - 25) Contract,06 - Other,17444,North Carolina Department of Public Instruction (NCDPI),,,,Reading & Elementary ED,Education,N/A,OS - Other Sponsored Activities (401),84.366,,,,
3376,How WIC Authorization influences Sales of Healthy Food and Beverages in Discount Variety Stores,17-0825,New,560523,A18-0088-001,250000,800003355,"Racine, Elizabeth","Racine, Elizabeth",Robert Wood Johnson Foundation (RWJF),Foundation,14181,No,"Zadrozny, Wlodek",['recugR2dTiJXLLCxE'],Public Health Sciences,College of Health and Human Services,22900,Public Health Sciences,22900,Public Health Sciences,College of Health and Human Services,10/9/2017,10,2018,2017-10-01,2020-03-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Public Health Sciences,CHHS,ID 74925,OR - Organized Research (110),0,,,,
540,Reducing chemical wear of single crystal diamond tools cutting alloys,17-0490,New,530602,A18-0059-001,327727,800385922,"Evans, Christopher","Evans, Christopher",National Science Foundation (NSF),Federal,5738,No,"Paul, Edward; Boreman, Glenn;",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,8/18/2017,8,2018,2017-10-01,2020-09-30,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,1728554,OR - Organized Research (110),47.041,,,,
2390,Evaluation of Bioretention Media Mixes for Optimum Permeability and Contaminant Removal Capacity - Phase II,15-0092,Supplement,560134,A15-0074-001,9000,800004011,"Wu, Jy","Wu, Jy",Faucette Consultants,Business and Industry,24017,No,"Guyer, Regina",['recQslbuFZUwdV4PG'],Energy and Environmental Assistance Office,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,8/23/2014,8,2015,2014-08-15,2014-12-31,New,(20 - 25) Contract,06 - Other,,,,,,Energy & Enviro Assistance Office,ENG,2975-2015-0092,OR - Organized Research (110),0,,,,
3325,Corrosion Testing of 304L SS & 316L SS,15-0315,New,560159,A15-0132-001,19834,800698196,"Oza, Shubhashini","Oza, Shubhashini","Geosyntec Consultants, Inc.",Business and Industry,8545,No,"Keen, Olya; Guyer, Regina;",['recQslbuFZUwdV4PG'],Energy and Environmental Assistance Office,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,12/10/2014,12,2015,2014-11-03,2016-01-15,New,(20 - 25) Contract,06 - Other,,,,,,Energy & Enviro Assistance Office,ENG,2975-2015-0315,OS - Other Sponsored Activities (401),0,,,,
2382,Prototype Magnesium Oxychloride Cement - Geopolymer Cement Composite Wall Board Testing: Strength and Fire Resistance Characteristics,17-0861,New,560511,A18-0058-001,16642,800934228,"Braxtan, Nicole","Braxtan, Nicole",Fire Retardant Chemical Technologies LLC,Business and Industry,27433,No,"Tempest, Brett",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,8/17/2017,8,2018,2017-07-01,2019-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,2975-2017-0861,OR - Organized Research (110),0,,,,
2407,Standard: Establishing Norms of Data Ethics in Citizen Science,18-0759,New,530814,A19-0153-001,9184,800370416,"Rasmussen, Lisa","Rasmussen, Lisa",North Carolina State University (NCSU),Educational and Research Institutions,12924,No,,['rec2Iygs03J8wud8R'],Philosophy,College of Liberal Arts and Sciences,18600,Philosophy,18600,Philosophy,College of Liberal Arts and Sciences,2/20/2019,2,2019,2018-09-01,2019-08-31,New,(20 - 25) Contract,01 - Research & Development (R&D),5738,National Science Foundation (NSF),,,,Philosophy,CLAS,2018-2765-01,,47.075,,,,
1980,CEEP NC Fall Funding Opportunity: UNC Charlotte Voting Shuttle,19-0286,New,560661,A19-0161-001,1500,800015288,"Johnson, Tamara","Johnson, Tamara",Ohio Campus Election Engagement Project (CEEP),Nonprofit Organization,35449,No,,['recOSjZ6yCGIQtHQj'],Metropolitan Studies and Extended Academic Programs,Metropolitan Studies,25900,Metropolitan Studies,25900,Metropolitan Studies and Extended Academic Programs,Metropolitan Studies,2/28/2019,2,2019,2018-10-01,2018-12-31,New,(20 - 25) Contract,06 - Other,,,,,,Metro Studies,Academic Affairs,Agreement executed 2/28/2019,OS - Other Sponsored Activities (401),0,,,,
3248,Disability Bias in Selection: A Test of Interventions,17-0860,New,560537,A18-0122-001,7092,800953983,"Mcgonagle, Alyssa","Mcgonagle, Alyssa",The SIOP Foundation,Foundation,31223,No,"Ruggs, Enrica",['recC1FwGi0gvCMCcJ'],Psychological Science,College of Liberal Arts and Sciences,19100,Psychological Science,19100,Psychological Science,College of Liberal Arts and Sciences,12/12/2017,12,2018,2017-11-30,2019-05-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Psychological Science,CLAS,Letter Dated 11/06/2017,OR - Organized Research (110),0,,,,
1822,Evaluating the Impact of Outward Bound School Unity Project on Post-Secondary Outcomes,17-0688,New,560476,A17-0222-001,38000,800981720,"Gaines, Angelique","Lane, Justin",North Carolina Outward Bound School,Educational and Research Institutions,12870,No,"Gavarkavich, Diane",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,5/31/2017,5,2017,2017-04-01,2019-12-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 04/19/2017,PS - Public Service (401),0,,,,
1506,Gaston County Public Service Fellowship,19-0846,New,550275,A20-0017-001,24737,800953975,"Barth, Thomas","Barth, Thomas",Gaston County,Local Government,15183,No,,['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,6/19/2019,6,2019,2019-08-16,2020-06-30,New,(20 - 25) Contract,04 - Student Support,,,,,,Political Science & Public Admin,CLAS,Letter Agreement Dated 05/27/2019,FA - Student Financial Aid (230),0,,,,
482,Optimizing Student Team Skill Development using Evidence-Based Strategies,"14-0512, 16-0364",,530214,A14-0274-002,8910,800715992,"Woehr, David","Woehr, David",Purdue University,Educational and Research Institutions,12281,No,,['recLzZk39AAtbS9kJ'],Management,College of Business,19900,Management,19900,Management,College of Business,1/15/2016,1,2016,2014-10-01,2020-09-30,Supplement,(20 - 25) Contract,"01 - Research & Development (R&D), 01 - Research & Development (R&D)",5738,National Science Foundation (NSF),,,,Management,Business,4101-63663 amend 1,OR - Organized Research (110),47.076,,,,
3345,The Effect of Housing Status on Educational Outcomes and Childhood Well-being,18-0292,New,560549,A18-0149-001,26500,800743000,"Lane, Justin","Lane, Justin",Habitat for Humanity Charlotte,Nonprofit Organization,27746,No,"Gavarkavich, Diane",['recimIrxMBCwOgyI1'],Urban Institute,Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,1/31/2018,1,2018,2017-11-01,2018-08-31,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 10/18/2017,,0,,,,
3700,ZapGo Energy Storage Module Testing,19-0019,New,560617,A19-0048-001,314100,800799988,"Manjrekar, Madhav","Manjrekar, Madhav","ZapGo, Inc.",Business and Industry,34897,No,"Manjrekar, Madhav; Mazzola, Michael;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,22150,Energy Production and Infrastructure Center,College of Engineering,8/2/2018,8,2019,2018-07-31,2019-09-30,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,2975-2019-0019,OS - Other Sponsored Activities (401),0,,,,
972,"Political Thought in Times of Crisis, 1640-1660",17-0145,New,directregistration,A17-0089-001,500,800587886,"Anderson, Amanda","Anderson, Amanda",Folger Shekespeare Library,Nonprofit Organization,15602,No,,['rec4TT9XCl21ikJvw'],History,College of Liberal Arts and Sciences,18300,History,18300,History,College of Liberal Arts and Sciences,10/18/2016,10,2017,2016-12-01,2016-12-03,New,Other - Choose,01 - Research & Development (R&D),,,,,,History,CLAS,Direct Award Dated 10-18-2016,OR - Organized Research (110),0,,,,
2081,Charlotte water environmental services and student experiential learning,19-0137,New,550264,A19-0154-001,148170,800806948,"Keen, Olya","Keen, Olya",City of Charlotte,Local Government,14967,No,"Bowen, James",['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,2/21/2019,2,2019,2018-10-01,2019-09-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Civil and Environmental Engr,ENG,2019000874,OR - Organized Research (110),0,,,,
2956,"Fulbright Scholar Teaching/Research Fellowship, Regent's University, London",14-0788,New,directfellow,A16-0184-001,47251,800017016,"Johnson, David","Johnson, David",Fulbright Scholar Program,Federal,5417,No,,['rec4TT9XCl21ikJvw'],History,College of Liberal Arts and Sciences,18300,History,18300,History,College of Liberal Arts and Sciences,2/29/2016,2,2016,2015-08-15,2016-08-14,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,History,CLAS,DIRECT Award Dated 04/23/2015,OR - Organized Research (110),0,,,,
3497,DeepHyd: A Deep Learning-based Artificial Intelligence Approach for the Automated Classification of Hydraulic Structures from LiDAR and Sonar Data,18-0404,New,530700,A19-0019-001,398189,800724825,"Tang, Wenwu","Tang, Wenwu",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,"Allan, Craig; Diemer, John; Chen, Shen-En;",['recJCGE2aYBybnDS9'],Geography and Earth Sciences,College of Liberal Arts and Sciences,18100,Geography and Earth Sciences,18100,Geography and Earth Sciences,College of Liberal Arts and Sciences,6/8/2018,6,2018,2018-07-01,2021-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),5375,US Department of Transportation (DOT),,,,Geography and Earth Sciences,CLAS,RP 2019-03,OR - Organized Research (110),20.205,,,,
2731,Cyber Vulnerability of Electrical Power Systems using Distributed Synchrophasors,18-0712,Supplement,560409,A17-0097-002,22500,800799988,"Manjrekar, Madhav","Manjrekar, Madhav",Center for Advanced Power Engineering Research (CAPER),Nonprofit Organization,26027,No,"Chowdhury, Badrul; Saqib, Fareena;",['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,6/19/2018,6,2018,2016-07-08,2018-07-07,,(20 - 25) Contract,01 - Research & Development (R&D),11834,Clemson University,,,,EPIC,ENG,2013-245-2012448,OR - Organized Research (110),0,,,,
